Piccadilly ,Eastbound,ACTON TOWN,HAMMERSMITH,4.42,5.65
Piccadilly ,Westbound,ACTON TOWN,SOUTH EALING,2.2,2.8
Piccadilly ,Westbound,ACTON TOWN,EALING COMMON,1.03,1.72
District,Westbound,ACTON TOWN,EALING COMMON,1.03,1.5
District,Eastbound,ACTON TOWN,CHISWICK PARK,1.22,1.8
Metropolitan,Westbound,ALDGATE,LIVERPOOL STREET,0.61,1.75
Circle ,Inner,ALDGATE,LIVERPOOL STREET,0.61,1.75
Circle ,Outer,ALDGATE,TOWER HILL,0.5,1.37
H & C,Eastbound,ALDGATE EAST,WHITECHAPEL,0.82,2.17
H & C,Westbound,ALDGATE EAST,LIVERPOOL STREET,0.92,2.12
District,Westbound,ALDGATE EAST,TOWER HILL,0.8,1.87
District,Eastbound,ALDGATE EAST,WHITECHAPEL,0.82,2.17
Piccadilly ,Eastbound,ALPERTON,PARK ROYAL,1.97,2.2
Piccadilly ,Westbound,ALPERTON,SUDBURY TOWN,1.57,2.03
Metropolitan,Eastbound,AMERSHAM,CHALFONT & LATIMER,3.27,3.65
Northern ,Southbound,ANGEL,OLD STREET,1.44,2.87
Northern ,Northbound,ANGEL,KINGS CROSS ST PANCRAS,1.38,2.15
Northern ,Southbound,ARCHWAY,TUFNELL PARK,0.88,1.6
Northern ,Northbound,ARCHWAY,HIGHGATE,1.7,2.75
Piccadilly ,Eastbound,ARNOS GROVE,SOUTHGATE,1.94,2.8
Piccadilly ,Westbound,ARNOS GROVE,BOUNDS GREEN,1.25,2.25
Piccadilly ,Eastbound,ARSENAL,FINSBURY PARK,0.69,1.38
Piccadilly ,Westbound,ARSENAL,HOLLOWAY ROAD,0.74,1.3
Bakerloo ,Southbound,BAKER STREET,REGENTS PARK,0.88,1.68
Bakerloo ,Northbound,BAKER STREET,MARYLEBONE,0.5,1.08
Jubilee ,Eastbound,BAKER STREET,BOND STREET,1.66,2.1
Jubilee ,Westbound,BAKER STREET,ST JOHNS WOOD,2.06,2.85
H & C,Eastbound,BAKER STREET,GREAT PORTLAND STREET,0.92,1.9
H & C,Westbound,BAKER STREET,EDGWARE ROAD,0.72,1.88
Circle ,Inner,BAKER STREET,EDGWARE ROAD,0.72,1.88
Circle ,Outer,BAKER STREET,GREAT PORTLAND STREET,0.92,1.9
Metropolitan,Westbound,BAKER STREET,FINCHLEY ROAD,3.38,5.55
Metropolitan,Eastbound,BAKER STREET,GREAT PORTLAND STREET,0.92,1.98
Northern ,Southbound,BALHAM,TOOTING BEC,0.98,1.67
Northern ,Northbound,BALHAM,CLAPHAM SOUTH,1.15,1.8
Central ,Eastbound,BANK,LIVERPOOL STREET,0.74,1.62
Central ,Westbound,BANK,ST PAULS,0.74,1.63
Waterloo & City,Westbound,BANK,WATERLOO,2.37,4.2
Northern ,Southbound,BANK,LONDON BRIDGE,0.69,1.55
Northern ,Northbound,BANK,MOORGATE,0.82,1.77
Metropolitan,Westbound,BARBICAN,FARRINGDON,0.51,1.2
Metropolitan,Eastbound,BARBICAN,MOORGATE,0.63,1.32
H & C,Eastbound,BARBICAN,MOORGATE,0.64,1.32
H & C,Westbound,BARBICAN,FARRINGDON,0.51,1.2
Circle ,Inner,BARBICAN,FARRINGDON,0.51,1.2
Circle ,Outer,BARBICAN,MOORGATE,0.64,1.32
H & C,Westbound,BARKING,EAST HAM,2.29,2.87
District,Westbound,BARKING,EAST HAM,2.29,2.87
District,Eastbound,BARKING,UPNEY,1.38,1.97
Central ,Eastbound,BARKINGSIDE,FAIRLOP,1.22,1.57
Central ,Westbound,BARKINGSIDE,NEWBURY PARK,1.11,1.58
Piccadilly ,Eastbound,BARONS COURT,EARLS COURT,1.62,2.55
Piccadilly ,Westbound,BARONS COURT,HAMMERSMITH,0.68,1.32
District,Westbound,BARONS COURT,HAMMERSMITH,0.68,1.33
District,Eastbound,BARONS COURT,WEST KENSINGTON,0.64,1.28
Circle ,Inner,BAYSWATER,NOTTING HILL GATE,0.79,1.47
Circle ,Outer,BAYSWATER,PADDINGTON,0.98,1.63
District,Westbound,BAYSWATER,NOTTING HILL GATE,0.79,1.47
District,Eastbound,BAYSWATER,PADDINGTON,0.98,1.63
District,Westbound,BECONTREE,UPNEY,1.87,2.33
District,Eastbound,BECONTREE,DAGENHAM HEATHWAY,1.37,1.88
Northern ,Southbound,BELSIZE PARK,CHALK FARM,1.1,1.77
Northern ,Northbound,BELSIZE PARK,HAMPSTEAD,1.2,2.02
Jubilee ,Eastbound,BERMONDSEY,CANADA WATER,1.06,1.48
Jubilee ,Westbound,BERMONDSEY,LONDON BRIDGE,1.93,2.17
Central ,Eastbound,BETHNAL GREEN,MILE END,1.64,1.98
Central ,Westbound,BETHNAL GREEN,LIVERPOOL STREET,2.27,2.77
Circle ,Inner,BLACKFRIARS,MANSION HOUSE,0.61,1.52
Circle ,Outer,BLACKFRIARS,TEMPLE,0.76,1.37
District,Westbound,BLACKFRIARS,TEMPLE,0.76,1.37
District,Eastbound,BLACKFRIARS,MANSION HOUSE,0.61,1.52
Victoria,Southbound,BLACKHORSE ROAD,TOTTENHAM HALE,1.37,1.9
Victoria,Northbound,BLACKHORSE ROAD,WALTHAMSTOW,1.45,2.12
Central ,Eastbound,BOND STREET,OXFORD CIRCUS,0.66,1.1
Central ,Westbound,BOND STREET,MARBLE ARCH,0.55,1.02
Jubilee ,Eastbound,BOND STREET,GREEN PARK,1.37,1.78
Jubilee ,Westbound,BOND STREET,BAKER STREET,1.66,2.28
Northern ,Southbound,BOROUGH,ELEPHANT & CASTLE,0.85,1.72
Northern ,Northbound,BOROUGH,LONDON BRIDGE,0.67,1.4
Piccadilly ,Eastbound,BOSTON MANOR,NORTHFIELDS,0.99,1.98
Piccadilly ,Westbound,BOSTON MANOR,OSTERLEY,2.42,2.85
Piccadilly ,Eastbound,BOUNDS GREEN,ARNOS GROVE,1.25,2.58
Piccadilly ,Westbound,BOUNDS GREEN,WOOD GREEN,1.52,2.2
H & C,Eastbound,BOW ROAD,BROMLEY BY BOW,1.01,2.12
H & C,Westbound,BOW ROAD,MILE END,0.55,1.27
District,Westbound,BOW ROAD,MILE END,0.55,1.27
District,Eastbound,BOW ROAD,BROMLEY BY BOW,1.01,2.12
Northern ,Southbound,BRENT CROSS,GOLDERS GREEN,1.55,2.57
Northern ,Northbound,BRENT CROSS,HENDON CENTRAL,1.1,1.83
Victoria,Northbound,BRIXTON,STOCKWELL,1.46,2.18
H & C,Eastbound,BROMLEY BY BOW,WEST HAM,1.37,2
H & C,Westbound,BROMLEY BY BOW,BOW ROAD,1.01,2.23
District,Westbound,BROMLEY BY BOW,BOW ROAD,1.01,2.23
District,Eastbound,BROMLEY BY BOW,WEST HAM,1.37,2
Central ,Eastbound,BUCKHURST HILL,LOUGHTON,1.83,2.35
Central ,Westbound,BUCKHURST HILL,WOODFORD,2.31,2.32
Northern ,Southbound,BURNT OAK,COLINDALE,1.31,1.98
Northern ,Northbound,BURNT OAK,EDGWARE,1.47,3.37
Piccadilly ,Eastbound,CALEDONIAN ROAD,HOLLOWAY ROAD,0.59,1.18
Piccadilly ,Westbound,CALEDONIAN ROAD,KINGS CROSS ST PANCRAS,1.96,2.78
Northern ,Southbound,CAMDEN TOWN,MORNINGTON CRESCENT,0.64,1.63
Northern ,Southbound,CAMDEN TOWN,EUSTON,1.71,2.95
Northern ,Northbound,CAMDEN TOWN,KENTISH TOWN,1.15,1.95
Northern ,Northbound,CAMDEN TOWN,CHALK FARM,0.85,1.55
Jubilee ,Eastbound,CANADA WATER,CANARY WHARF,2.41,2.5
Jubilee ,Westbound,CANADA WATER,BERMONDSEY,1.06,1.52
East London ,Northbound,CANADA WATER,ROTHERHITHE,0.32,0.85
East London ,Southbound,CANADA WATER,SURREY QUAYS,0.55,1.7
Jubilee ,Eastbound,CANARY WHARF,NORTH GREENWICH,1.71,2.23
Jubilee ,Westbound,CANARY WHARF,CANADA WATER,2.41,2.63
Jubilee ,Eastbound,CANNING TOWN,WEST HAM,1.58,2.15
Jubilee ,Westbound,CANNING TOWN,NORTH GREENWICH,1.71,2.17
Circle ,Inner,CANNON STREET,MONUMENT,0.34,0.97
Circle ,Outer,CANNON STREET,MANSION HOUSE,0.31,0.93
District,Westbound,CANNON STREET,MANSION HOUSE,0.31,0.93
District,Eastbound,CANNON STREET,MONUMENT,0.34,0.97
Jubilee ,Eastbound,CANONS PARK,QUEENSBURY,1.71,1.93
Jubilee ,Westbound,CANONS PARK,STANMORE,1.27,2.87
Metropolitan,Westbound,CHALFONT & LATIMER,CHESHAM,6.19,9.48
Metropolitan,Westbound,CHALFONT & LATIMER,AMERSHAM,3.27,4.07
Metropolitan,Eastbound,CHALFONT & LATIMER,CHORLEYWOOD,3.43,3.68
Northern ,Southbound,CHALK FARM,CAMDEN TOWN,0.85,1.53
Northern ,Northbound,CHALK FARM,BELSIZE PARK,1.1,1.9
Central ,Eastbound,CHANCERY LANE,ST PAULS,1.03,1.52
Central ,Westbound,CHANCERY LANE,HOLBORN,0.4,0.85
Bakerloo ,Southbound,CHARING CROSS,EMBANKMENT,0.37,0.95
Bakerloo ,Northbound,CHARING CROSS,PICCADILLY CIRCUS,0.55,1.6
Northern ,Southbound,CHARING CROSS,EMBANKMENT,0.27,0.8
Northern ,Northbound,CHARING CROSS,LEICESTER SQUARE,0.46,1.17
Metropolitan,Eastbound,CHESHAM,CHALFONT & LATIMER,6.19,9.63
Central ,Inner,CHIGWELL,RODING VALLEY,2.28,2.45
Central ,Outer,CHIGWELL,GRANGE HILL,1.32,1.73
District,Westbound,CHISWICK PARK,ACTON TOWN,1.22,1.83
District,Eastbound,CHISWICK PARK,TURNHAM GREEN,0.95,1.48
Metropolitan,Westbound,CHORLEYWOOD,CHALFONT & LATIMER,3.43,3.95
Metropolitan,Eastbound,CHORLEYWOOD,RICKMANSWORTH,3.38,4.07
Northern ,Southbound,CLAPHAM COMMON,CLAPHAM SOUTH,1.25,2
Northern ,Northbound,CLAPHAM COMMON,CLAPHAM NORTH,0.62,1.32
Northern ,Southbound,CLAPHAM NORTH,CLAPHAM COMMON,0.62,1.4
Northern ,Northbound,CLAPHAM NORTH,STOCKWELL,0.82,1.72
Northern ,Southbound,CLAPHAM SOUTH,BALHAM,1.15,1.88
Northern ,Northbound,CLAPHAM SOUTH,CLAPHAM COMMON,1.25,2.2
Piccadilly ,Westbound,COCKFOSTERS,OAKWOOD,1.27,2.27
Northern ,Southbound,COLINDALE,HENDON CENTRAL,2.1,2.83
Northern ,Northbound,COLINDALE,BURNT OAK,1.31,2.07
Northern ,Southbound,COLLIERS WOOD,SOUTH WIMBLEDON,1.14,1.88
Northern ,Northbound,COLLIERS WOOD,TOOTING BROADWAY,1.2,1.97
Piccadilly ,Eastbound,COVENT GARDEN,HOLBORN,0.59,1.4
Piccadilly ,Westbound,COVENT GARDEN,LEICESTER SQUARE,0.25,0.77
Metropolitan,Westbound,CROXLEY,WATFORD,1.9,3.6
Metropolitan,Eastbound,CROXLEY,MOOR PARK,2.94,4.42
District,Westbound,DAGENHAM EAST,DAGENHAM HEATHWAY,1.35,1.83
District,Eastbound,DAGENHAM EAST,ELM PARK,2.37,2.85
District,Westbound,DAGENHAM HEATHWAY,BECONTREE,1.37,1.88
District,Eastbound,DAGENHAM HEATHWAY,DAGENHAM EAST,1.35,1.85
Central ,Eastbound,DEBDEN,THEYDON BOIS,3.34,3
Central ,Westbound,DEBDEN,LOUGHTON,2.02,2.67
Jubilee ,Eastbound,DOLLIS HILL,WILLESDEN GREEN,1.21,1.8
Jubilee ,Westbound,DOLLIS HILL,NEASDEN,0.85,1.38
Central ,Eastbound,EALING BROADWAY,WEST ACTON,1.53,2.28
District,Eastbound,EALING BROADWAY,EALING COMMON,1.5,2.67
Piccadilly ,Eastbound,EALING COMMON,ACTON TOWN,1.03,1.83
Piccadilly ,Westbound,EALING COMMON,NORTH EALING,0.94,1.88
District,Westbound,EALING COMMON,EALING BROADWAY,1.5,3.5
District,Eastbound,EALING COMMON,ACTON TOWN,1.03,1.9
Piccadilly ,Eastbound,EARLS COURT,GLOUCESTER ROAD,0.78,1.37
Piccadilly ,Westbound,EARLS COURT,BARONS COURT,1.62,2.68
